time,fmu.x
0.22, 0.810000
0.221, 0.810000
0.222, 0.810000
0.223, 0.810000
0.224, 0.810000
0.225, 0.810000
0.226, 0.810000
0.227, 0.810000
0.228, 0.810000
0.229, 0.810000
0.23, 0.810000
0.231, 0.810000
0.232, 0.810000
0.233, 0.810000
0.234, 0.810000
0.235, 0.810000
0.236, 0.810000
0.237, 0.810000
0.238, 0.810000
0.239, 0.810000
0.24, 0.810000
0.241, 0.810000
0.242, 0.810000
0.243, 0.810000
0.244, 0.810000
0.245, 0.810000
0.246, 0.810000
0.247, 0.810000
0.248, 0.810000
0.249, 0.810000
0.25, 0.810000
0.251, 0.810000
0.252, 0.810000
0.253, 0.810000
0.254, 0.810000
0.255, 0.810000
0.256, 0.810000
0.257, 0.810000
0.258, 0.810000
0.259, 0.810000
0.26, 0.810000
0.261, 0.810000
0.262, 0.810000
0.263, 0.810000
0.264, 0.810000
0.265, 0.810000
0.266, 0.810000
0.267, 0.810000
0.268, 0.810000
0.269, 0.810000
0.27, 0.810000
0.271, 0.810000
0.272, 0.810000
0.273, 0.810000
0.274, 0.810000
0.275, 0.810000
0.276, 0.810000
0.277, 0.810000
0.278, 0.810000
0.279, 0.810000
0.28, 0.810000
0.281, 0.810000
0.282, 0.810000
0.283, 0.810000
0.284, 0.810000
0.285, 0.810000
0.286, 0.810000
0.287, 0.810000
0.288, 0.810000
0.289, 0.810000
0.29, 0.810000
0.291, 0.810000
0.292, 0.810000
0.293, 0.810000
0.294, 0.810000
0.295, 0.810000
0.296, 0.810000
0.297, 0.810000
0.298, 0.810000
0.299, 0.810000
0.3, 0.729000
0.301, 0.729000
0.302, 0.729000
0.303, 0.729000
0.304, 0.729000
0.305, 0.729000
0.306, 0.729000
0.307, 0.729000
0.308, 0.729000
0.309, 0.729000
0.31, 0.729000
0.311, 0.729000
0.312, 0.729000
0.313, 0.729000
0.314, 0.729000
0.315, 0.729000
0.316, 0.729000
0.317, 0.729000
0.318, 0.729000
0.319, 0.729000
0.32, 0.729000
0.321, 0.729000
0.322, 0.729000
0.323, 0.729000
0.324, 0.729000
0.325, 0.729000
0.326, 0.729000
0.327, 0.729000
0.328, 0.729000
0.329, 0.729000
0.33, 0.729000
0.331, 0.729000
0.332, 0.729000
0.333, 0.729000
0.334, 0.729000
0.335, 0.729000
0.336, 0.729000
0.337, 0.729000
0.338, 0.729000
0.339, 0.729000
0.34, 0.729000
0.341, 0.729000
0.342, 0.729000
0.343, 0.729000
0.344, 0.729000
0.345, 0.729000
0.346, 0.729000
0.347, 0.729000
0.348, 0.729000
0.349, 0.729000
0.35, 0.729000
0.351, 0.729000
0.352, 0.729000
0.353, 0.729000
0.354, 0.729000
0.355, 0.729000
0.356, 0.729000
0.357, 0.729000
0.358, 0.729000
0.359, 0.729000
0.36, 0.729000
0.361, 0.729000
0.362, 0.729000
0.363, 0.729000
0.364, 0.729000
0.365, 0.729000
0.366, 0.729000
0.367, 0.729000
0.368, 0.729000
0.369, 0.729000
0.37, 0.729000
0.371, 0.729000
0.372, 0.729000
0.373, 0.729000
0.374, 0.729000
0.375, 0.729000
0.376, 0.729000
0.377, 0.729000
0.378, 0.729000
0.379, 0.729000
0.38, 0.729000
0.381, 0.729000
0.382, 0.729000
0.383, 0.729000
0.384, 0.729000
0.385, 0.729000
0.386, 0.729000
0.387, 0.729000
0.388, 0.729000
0.389, 0.729000
0.39, 0.729000
0.391, 0.729000
0.392, 0.729000
0.393, 0.729000
0.394, 0.729000
0.395, 0.729000
0.396, 0.729000
0.397, 0.729000
0.398, 0.729000
0.399, 0.729000
0.4, 0.656100
0.401, 0.656100
0.402, 0.656100
0.403, 0.656100
0.404, 0.656100
0.405, 0.656100
0.406, 0.656100
0.407, 0.656100
0.408, 0.656100
0.409, 0.656100
0.41, 0.656100
0.411, 0.656100
0.412, 0.656100
0.413, 0.656100
0.414, 0.656100
0.415, 0.656100
0.416, 0.656100
0.417, 0.656100
0.418, 0.656100
0.419, 0.656100
0.42, 0.656100
0.421, 0.656100
0.422, 0.656100
0.423, 0.656100
0.424, 0.656100
0.425, 0.656100
0.426, 0.656100
0.427, 0.656100
0.428, 0.656100
0.429, 0.656100
0.43, 0.656100
0.431, 0.656100
0.432, 0.656100
0.433, 0.656100
0.434, 0.656100
0.435, 0.656100
0.436, 0.656100
0.437, 0.656100
0.438, 0.656100
0.439, 0.656100
0.44, 0.656100
0.441, 0.656100
0.442, 0.656100
0.443, 0.656100
0.444, 0.656100
0.445, 0.656100
0.446, 0.656100
0.447, 0.656100
0.448, 0.656100
0.449, 0.656100
0.45, 0.656100
0.451, 0.656100
0.452, 0.656100
0.453, 0.656100
0.454, 0.656100
0.455, 0.656100
0.456, 0.656100
0.457, 0.656100
0.458, 0.656100
0.459, 0.656100
0.46, 0.656100
0.461, 0.656100
0.462, 0.656100
0.463, 0.656100
0.464, 0.656100
0.465, 0.656100
0.466, 0.656100
0.467, 0.656100
0.468, 0.656100
0.469, 0.656100
0.47, 0.656100
0.471, 0.656100
0.472, 0.656100
0.473, 0.656100
0.474, 0.656100
0.475, 0.656100
0.476, 0.656100
0.477, 0.656100
0.478, 0.656100
0.479, 0.656100
0.48, 0.656100
0.481, 0.656100
0.482, 0.656100
0.483, 0.656100
0.484, 0.656100
0.485, 0.656100
0.486, 0.656100
0.487, 0.656100
0.488, 0.656100
0.489, 0.656100
0.49, 0.656100
0.491, 0.656100
0.492, 0.656100
0.493, 0.656100
0.494, 0.656100
0.495, 0.656100
0.496, 0.656100
0.497, 0.656100
0.498, 0.656100
0.499, 0.656100
0.5, 0.590490
0.501, 0.590490
0.502, 0.590490
0.503, 0.590490
0.504, 0.590490
0.505, 0.590490
0.506, 0.590490
0.507, 0.590490
0.508, 0.590490
0.509, 0.590490
0.51, 0.590490
0.511, 0.590490
0.512, 0.590490
0.513, 0.590490
0.514, 0.590490
0.515, 0.590490
0.516, 0.590490
0.517, 0.590490
0.518, 0.590490
0.519, 0.590490
0.52, 0.590490
0.521, 0.590490
0.522, 0.590490
0.523, 0.590490
0.524, 0.590490
0.525, 0.590490
0.526, 0.590490
0.527, 0.590490
0.528, 0.590490
0.529, 0.590490
0.53, 0.590490
0.531, 0.590490
0.532, 0.590490
0.533, 0.590490
0.534, 0.590490
0.535, 0.590490
0.536, 0.590490
0.537, 0.590490
0.538, 0.590490
0.539, 0.590490
0.54, 0.590490
0.541, 0.590490
0.542, 0.590490
0.543, 0.590490
0.544, 0.590490
0.545, 0.590490
0.546, 0.590490
0.547, 0.590490
0.548, 0.590490
0.549, 0.590490
0.55, 0.590490
0.551, 0.590490
0.552, 0.590490
0.553, 0.590490
0.554, 0.590490
0.555, 0.590490
0.556, 0.590490
0.557, 0.590490
0.558, 0.590490
0.559, 0.590490
0.56, 0.590490
0.561, 0.590490
0.562, 0.590490
0.563, 0.590490
0.564, 0.590490
0.565, 0.590490
0.566, 0.590490
0.567, 0.590490
0.568, 0.590490
0.569, 0.590490
0.57, 0.590490
0.571, 0.590490
0.572, 0.590490
0.573, 0.590490
0.574, 0.590490
0.575, 0.590490
0.576, 0.590490
0.577, 0.590490
0.578, 0.590490
0.579, 0.590490
0.58, 0.590490
0.581, 0.590490
0.582, 0.590490
0.583, 0.590490
0.584, 0.590490
0.585, 0.590490
0.586, 0.590490
0.587, 0.590490
0.588, 0.590490
0.589, 0.590490
0.59, 0.590490
0.591, 0.590490
0.592, 0.590490
0.593, 0.590490
0.594, 0.590490
0.595, 0.590490
0.596, 0.590490
0.597, 0.590490
0.598, 0.590490
0.599, 0.590490
0.6, 0.531441
0.601, 0.531441
0.602, 0.531441
0.603, 0.531441
0.604, 0.531441
0.605, 0.531441
0.606, 0.531441
0.607, 0.531441
0.608, 0.531441
0.609, 0.531441
0.61, 0.531441
0.611, 0.531441
0.612, 0.531441
0.613, 0.531441
0.614, 0.531441
0.615, 0.531441
0.616, 0.531441
0.617, 0.531441
0.618, 0.531441
0.619, 0.531441
0.62, 0.531441
0.621, 0.531441
0.622, 0.531441
0.623, 0.531441
0.624, 0.531441
0.625, 0.531441
0.626, 0.531441
0.627, 0.531441
0.628, 0.531441
0.629, 0.531441
0.63, 0.531441
0.631, 0.531441
0.632, 0.531441
0.633, 0.531441
0.634, 0.531441
0.635, 0.531441
0.636, 0.531441
0.637, 0.531441
0.638, 0.531441
0.639, 0.531441
0.64, 0.531441
0.641, 0.531441
0.642, 0.531441
0.643, 0.531441
0.644, 0.531441
0.645, 0.531441
0.646, 0.531441
0.647, 0.531441
0.648, 0.531441
0.649, 0.531441
0.65, 0.531441
0.651, 0.531441
0.652, 0.531441
0.653, 0.531441
0.654, 0.531441
0.655, 0.531441
0.656, 0.531441
0.657, 0.531441
0.658, 0.531441
0.659, 0.531441
0.66, 0.531441
0.661, 0.531441
0.662, 0.531441
0.663, 0.531441
0.664, 0.531441
0.665, 0.531441
0.666, 0.531441
0.667, 0.531441
0.668, 0.531441
0.669, 0.531441
0.67, 0.531441
0.671, 0.531441
0.672, 0.531441
0.673, 0.531441
0.674, 0.531441
0.675, 0.531441
0.676, 0.531441
0.677, 0.531441
0.678, 0.531441
0.679, 0.531441
0.68, 0.531441
0.681, 0.531441
0.682, 0.531441
0.683, 0.531441
0.684, 0.531441
0.685, 0.531441
0.686, 0.531441
0.687, 0.531441
0.688, 0.531441
0.689, 0.531441
0.69, 0.531441
0.691, 0.531441
0.692, 0.531441
0.693, 0.531441
0.694, 0.531441
0.695, 0.531441
0.696, 0.531441
0.697, 0.531441
0.698, 0.531441
0.699, 0.531441
0.7, 0.478297
0.701, 0.478297
0.702, 0.478297
0.703, 0.478297
0.704, 0.478297
0.705, 0.478297
0.706, 0.478297
0.707, 0.478297
0.708, 0.478297
0.709, 0.478297
0.71, 0.478297
0.711, 0.478297
0.712, 0.478297
0.713, 0.478297
0.714, 0.478297
0.715, 0.478297
0.716, 0.478297
0.717, 0.478297
0.718, 0.478297
0.719, 0.478297
0.72, 0.478297
0.721, 0.478297
0.722, 0.478297
0.723, 0.478297
0.724, 0.478297
0.725, 0.478297
0.726, 0.478297
0.727, 0.478297
0.728, 0.478297
0.729, 0.478297
0.73, 0.478297
0.731, 0.478297
0.732, 0.478297
0.733, 0.478297
0.734, 0.478297
0.735, 0.478297
0.736, 0.478297
0.737, 0.478297
0.738, 0.478297
0.739, 0.478297
0.74, 0.478297
0.741, 0.478297
0.742, 0.478297
0.743, 0.478297
0.744, 0.478297
0.745, 0.478297
0.746, 0.478297
0.747, 0.478297
0.748, 0.478297
0.749, 0.478297
0.75, 0.478297
0.751, 0.478297
0.752, 0.478297
0.753, 0.478297
0.754, 0.478297
0.755, 0.478297
0.756, 0.478297
0.757, 0.478297
0.758, 0.478297
0.759, 0.478297
0.76, 0.478297
0.761, 0.478297
0.762, 0.478297
0.763, 0.478297
0.764, 0.478297
0.765, 0.478297
0.766, 0.478297
0.767, 0.478297
0.768, 0.478297
0.769, 0.478297
0.77, 0.478297
0.771, 0.478297
0.772, 0.478297
0.773, 0.478297
0.774, 0.478297
0.775, 0.478297
0.776, 0.478297
0.777, 0.478297
0.778, 0.478297
0.779, 0.478297
0.78, 0.478297
0.781, 0.478297
0.782, 0.478297
0.783, 0.478297
0.784, 0.478297
0.785, 0.478297
0.786, 0.478297
0.787, 0.478297
0.788, 0.478297
0.789, 0.478297
0.79, 0.478297
0.791, 0.478297
0.792, 0.478297
0.793, 0.478297
0.794, 0.478297
0.795, 0.478297
0.796, 0.478297
0.797, 0.478297
0.798, 0.478297
0.799, 0.478297
0.8, 0.430467
0.801, 0.430467
0.802, 0.430467
0.803, 0.430467
0.804, 0.430467
0.805, 0.430467
0.806, 0.430467
0.807, 0.430467
0.808, 0.430467
0.809, 0.430467
0.81, 0.430467
0.811, 0.430467
0.812, 0.430467
0.813, 0.430467
0.814, 0.430467
0.815, 0.430467
0.816, 0.430467
0.817, 0.430467
0.818, 0.430467
0.819, 0.430467
0.82, 0.430467
0.821, 0.430467
0.822, 0.430467
0.823, 0.430467
0.824, 0.430467
0.825, 0.430467
0.826, 0.430467
0.827, 0.430467
0.828, 0.430467
0.829, 0.430467
0.83, 0.430467
0.831, 0.430467
0.832, 0.430467
0.833, 0.430467
0.834, 0.430467
0.835, 0.430467
0.836, 0.430467
0.837, 0.430467
0.838, 0.430467
0.839, 0.430467
0.84, 0.430467
0.841, 0.430467
0.842, 0.430467
0.843, 0.430467
0.844, 0.430467
0.845, 0.430467
0.846, 0.430467
0.847, 0.430467
0.848, 0.430467
0.849, 0.430467
0.85, 0.430467
0.851, 0.430467
0.852, 0.430467
0.853, 0.430467
0.854, 0.430467
0.855, 0.430467
0.856, 0.430467
0.857, 0.430467
0.858, 0.430467
0.859, 0.430467
0.86, 0.430467
0.861, 0.430467
0.862, 0.430467
0.863, 0.430467
0.864, 0.430467
0.865, 0.430467
0.866, 0.430467
0.867, 0.430467
0.868, 0.430467
0.869, 0.430467
0.87, 0.430467
0.871, 0.430467
0.872, 0.430467
0.873, 0.430467
0.874, 0.430467
0.875, 0.430467
0.876, 0.430467
0.877, 0.430467
0.878, 0.430467
0.879, 0.430467
0.88, 0.430467
0.881, 0.430467
0.882, 0.430467
0.883, 0.430467
0.884, 0.430467
0.885, 0.430467
0.886, 0.430467
0.887, 0.430467
0.888, 0.430467
0.889, 0.430467
0.89, 0.430467
0.891, 0.430467
0.892, 0.430467
0.893, 0.430467
0.894, 0.430467
0.895, 0.430467
0.896, 0.430467
0.897, 0.430467
0.898, 0.430467
0.899, 0.430467
0.9, 0.387420
0.901, 0.387420
0.902, 0.387420
0.903, 0.387420
0.904, 0.387420
0.905, 0.387420
0.906, 0.387420
0.907, 0.387420
0.908, 0.387420
0.909, 0.387420
0.91, 0.387420
0.911, 0.387420
0.912, 0.387420
0.913, 0.387420
0.914, 0.387420
0.915, 0.387420
0.916, 0.387420
0.917, 0.387420
0.918, 0.387420
0.919, 0.387420
0.92, 0.387420
0.921, 0.387420
0.922, 0.387420
0.923, 0.387420
0.924, 0.387420
0.925, 0.387420
0.926, 0.387420
0.927, 0.387420
0.928, 0.387420
0.929, 0.387420
0.93, 0.387420
0.931, 0.387420
0.932, 0.387420
0.933, 0.387420
0.934, 0.387420
0.935, 0.387420
0.936, 0.387420
0.937, 0.387420
0.938, 0.387420
0.939, 0.387420
0.94, 0.387420
0.941, 0.387420
0.942, 0.387420
0.943, 0.387420
0.944, 0.387420
0.945, 0.387420
0.946, 0.387420
0.947, 0.387420
0.948, 0.387420
0.949, 0.387420
0.95, 0.387420
0.951, 0.387420
0.952, 0.387420
0.953, 0.387420
0.954, 0.387420
0.955, 0.387420
0.956, 0.387420
0.957, 0.387420
0.958, 0.387420
0.959, 0.387420
0.96, 0.387420
0.961, 0.387420
0.962, 0.387420
0.963, 0.387420
0.964, 0.387420
0.965, 0.387420
0.966, 0.387420
0.967, 0.387420
0.968, 0.387420
0.969, 0.387420
0.97, 0.387420
0.971, 0.387420
0.972, 0.387420
0.973, 0.387420
0.974, 0.387420
0.975, 0.387420
0.976, 0.387420
0.977, 0.387420
0.978, 0.387420
0.979, 0.387420
0.98, 0.387420
0.981, 0.387420
0.982, 0.387420
0.983, 0.387420
0.984, 0.387420
0.985, 0.387420
0.986, 0.387420
0.987, 0.387420
0.988, 0.387420
0.989, 0.387420
0.99, 0.387420
0.991, 0.387420
0.992, 0.387420
0.993, 0.387420
0.994, 0.387420
0.995, 0.387420
0.996, 0.387420
0.997, 0.387420
0.998, 0.387420
0.999, 0.387420
1, 0.348678
1.001, 0.348678
1.002, 0.348678
1.003, 0.348678
1.004, 0.348678
1.005, 0.348678
1.006, 0.348678
1.007, 0.348678
1.008, 0.348678
1.009, 0.348678
1.01, 0.348678
1.011, 0.348678
1.012, 0.348678
1.013, 0.348678
1.014, 0.348678
1.015, 0.348678
1.016, 0.348678
1.017, 0.348678
1.018, 0.348678
1.019, 0.348678
1.02, 0.348678
1.021, 0.348678
1.022, 0.348678
1.023, 0.348678
1.024, 0.348678
1.025, 0.348678
1.026, 0.348678
1.027, 0.348678
1.028, 0.348678
1.029, 0.348678
1.03, 0.348678
1.031, 0.348678
1.032, 0.348678
1.033, 0.348678
1.034, 0.348678
1.035, 0.348678
1.036, 0.348678
1.037, 0.348678
1.038, 0.348678
1.039, 0.348678
1.04, 0.348678
1.041, 0.348678
1.042, 0.348678
1.043, 0.348678
1.044, 0.348678
1.045, 0.348678
1.046, 0.348678
1.047, 0.348678
1.048, 0.348678
1.049, 0.348678
1.05, 0.348678
1.051, 0.348678
1.052, 0.348678
1.053, 0.348678
1.054, 0.348678
1.055, 0.348678
1.056, 0.348678
1.057, 0.348678
1.058, 0.348678
1.059, 0.348678
1.06, 0.348678
1.061, 0.348678
1.062, 0.348678
1.063, 0.348678
1.064, 0.348678
1.065, 0.348678
1.066, 0.348678
1.067, 0.348678
1.068, 0.348678
1.069, 0.348678
1.07, 0.348678
1.071, 0.348678
1.072, 0.348678
1.073, 0.348678
1.074, 0.348678
1.075, 0.348678
1.076, 0.348678
1.077, 0.348678
1.078, 0.348678
1.079, 0.348678
1.08, 0.348678
1.081, 0.348678
1.082, 0.348678
1.083, 0.348678
1.084, 0.348678
1.085, 0.348678
1.086, 0.348678
1.087, 0.348678
1.088, 0.348678
1.089, 0.348678
1.09, 0.348678
1.091, 0.348678
1.092, 0.348678
1.093, 0.348678
1.094, 0.348678
1.095, 0.348678
1.096, 0.348678
1.097, 0.348678
1.098, 0.348678
1.099, 0.348678
1.1, 0.313811
1.101, 0.313811
1.102, 0.313811
1.103, 0.313811
1.104, 0.313811
1.105, 0.313811
1.106, 0.313811
1.107, 0.313811
1.108, 0.313811
1.109, 0.313811
1.11, 0.313811
1.111, 0.313811
1.112, 0.313811
1.113, 0.313811
1.114, 0.313811
1.115, 0.313811
1.116, 0.313811
1.117, 0.313811
1.118, 0.313811
1.119, 0.313811
1.12, 0.313811
1.121, 0.313811
1.122, 0.313811
1.123, 0.313811
1.124, 0.313811
1.125, 0.313811
1.126, 0.313811
1.127, 0.313811
1.128, 0.313811
1.129, 0.313811
1.13, 0.313811
1.131, 0.313811
1.132, 0.313811
1.133, 0.313811
1.134, 0.313811
1.135, 0.313811
1.136, 0.313811
1.137, 0.313811
1.138, 0.313811
1.139, 0.313811
1.14, 0.313811
1.141, 0.313811
1.142, 0.313811
1.143, 0.313811
1.144, 0.313811
1.145, 0.313811
1.146, 0.313811
1.147, 0.313811
1.148, 0.313811
1.149, 0.313811
1.15, 0.313811
1.151, 0.313811
1.152, 0.313811
1.153, 0.313811
1.154, 0.313811
1.155, 0.313811
1.156, 0.313811
1.157, 0.313811
1.158, 0.313811
1.159, 0.313811
1.16, 0.313811
1.161, 0.313811
1.162, 0.313811
1.163, 0.313811
1.164, 0.313811
1.165, 0.313811
1.166, 0.313811
1.167, 0.313811
1.168, 0.313811
1.169, 0.313811
1.17, 0.313811
1.171, 0.313811
1.172, 0.313811
1.173, 0.313811
1.174, 0.313811
1.175, 0.313811
1.176, 0.313811
1.177, 0.313811
1.178, 0.313811
1.179, 0.313811
1.18, 0.313811
1.181, 0.313811
1.182, 0.313811
1.183, 0.313811
1.184, 0.313811
1.185, 0.313811
1.186, 0.313811
1.187, 0.313811
1.188, 0.313811
1.189, 0.313811
1.19, 0.313811
1.191, 0.313811
1.192, 0.313811
1.193, 0.313811
1.194, 0.313811
1.195, 0.313811
1.196, 0.313811
1.197, 0.313811
1.198, 0.313811
1.199, 0.313811
1.2, 0.282430
1.201, 0.282430
1.202, 0.282430
1.203, 0.282430
1.204, 0.282430
1.205, 0.282430
1.206, 0.282430
1.207, 0.282430
1.208, 0.282430
1.209, 0.282430
1.21, 0.282430
1.211, 0.282430
1.212, 0.282430
1.213, 0.282430
1.214, 0.282430
1.215, 0.282430
1.216, 0.282430
1.217, 0.282430
1.218, 0.282430
1.219, 0.282430
1.22, 0.282430
1.221, 0.282430
1.222, 0.282430
1.223, 0.282430
1.224, 0.282430
1.225, 0.282430
1.226, 0.282430
1.227, 0.282430
1.228, 0.282430
1.229, 0.282430
1.23, 0.282430
1.231, 0.282430
1.232, 0.282430
1.233, 0.282430
1.234, 0.282430
1.235, 0.282430
1.236, 0.282430
1.237, 0.282430
1.238, 0.282430
1.239, 0.282430
1.24, 0.282430
1.241, 0.282430
1.242, 0.282430
1.243, 0.282430
1.244, 0.282430
1.245, 0.282430
1.246, 0.282430
1.247, 0.282430
1.248, 0.282430
1.249, 0.282430
1.25, 0.282430
1.251, 0.282430
1.252, 0.282430
1.253, 0.282430
1.254, 0.282430
1.255, 0.282430
1.256, 0.282430
1.257, 0.282430
1.258, 0.282430
1.259, 0.282430
1.26, 0.282430
1.261, 0.282430
1.262, 0.282430
1.263, 0.282430
1.264, 0.282430
1.265, 0.282430
1.266, 0.282430
1.267, 0.282430
1.268, 0.282430
1.269, 0.282430
1.27, 0.282430
1.271, 0.282430
1.272, 0.282430
1.273, 0.282430
1.274, 0.282430
1.275, 0.282430
1.276, 0.282430
1.277, 0.282430
1.278, 0.282430
1.279, 0.282430
1.28, 0.282430
1.281, 0.282430
1.282, 0.282430
1.283, 0.282430
1.284, 0.282430
1.285, 0.282430
1.286, 0.282430
1.287, 0.282430
1.288, 0.282430
1.289, 0.282430
1.29, 0.282430
1.291, 0.282430
1.292, 0.282430
1.293, 0.282430
1.294, 0.282430
1.295, 0.282430
1.296, 0.282430
1.297, 0.282430
1.298, 0.282430
1.299, 0.282430
1.3, 0.254187
1.301, 0.254187
1.302, 0.254187
1.303, 0.254187
1.304, 0.254187
1.305, 0.254187
1.306, 0.254187
1.307, 0.254187
1.308, 0.254187
1.309, 0.254187
1.31, 0.254187
1.311, 0.254187
1.312, 0.254187
1.313, 0.254187
1.314, 0.254187
1.315, 0.254187
1.316, 0.254187
1.317, 0.254187
1.318, 0.254187
1.319, 0.254187
1.32, 0.254187
1.321, 0.254187
1.322, 0.254187
1.323, 0.254187
1.324, 0.254187
1.325, 0.254187
1.326, 0.254187
1.327, 0.254187
1.328, 0.254187
1.329, 0.254187
1.33, 0.254187
1.331, 0.254187
1.332, 0.254187
1.333, 0.254187
1.334, 0.254187
1.335, 0.254187
1.336, 0.254187
1.337, 0.254187
1.338, 0.254187
1.339, 0.254187
1.34, 0.254187
1.341, 0.254187
1.342, 0.254187
1.343, 0.254187
1.344, 0.254187
1.345, 0.254187
1.346, 0.254187
1.347, 0.254187
1.348, 0.254187
1.349, 0.254187
1.35, 0.254187
1.351, 0.254187
1.352, 0.254187
1.353, 0.254187
1.354, 0.254187
1.355, 0.254187
1.356, 0.254187
1.357, 0.254187
1.358, 0.254187
1.359, 0.254187
1.36, 0.254187
1.361, 0.254187
1.362, 0.254187
1.363, 0.254187
1.364, 0.254187
1.365, 0.254187
1.366, 0.254187
1.367, 0.254187
1.368, 0.254187
1.369, 0.254187
1.37, 0.254187
1.371, 0.254187
1.372, 0.254187
1.373, 0.254187
1.374, 0.254187
1.375, 0.254187
1.376, 0.254187
1.377, 0.254187
1.378, 0.254187
1.379, 0.254187
1.38, 0.254187
1.381, 0.254187
1.382, 0.254187
1.383, 0.254187
1.384, 0.254187
1.385, 0.254187
1.386, 0.254187
1.387, 0.254187
1.388, 0.254187
1.389, 0.254187
1.39, 0.254187
1.391, 0.254187
1.392, 0.254187
1.393, 0.254187
1.394, 0.254187
1.395, 0.254187
1.396, 0.254187
1.397, 0.254187
1.398, 0.254187
